ID	Label	log2FC	SE	pvalue	adj.pvalue	baseMean
SCO0217	mu_wt24	0.0110189477269464	0.166348668560561	0.836266126778317	0.95171981700842	15.7389693132448
SCO0218	mu_wt24	0.0001555987161894	0.171619299427521	0.988668805700351		5.05587722631283
SCO0219	mu_wt24	0.0793451265030867	0.188240164258157	0.189479972704453	0.495222603819919	15.5788235547373
SCO0220	mu_wt24	0.0504292825205952	0.177273743025307	0.319349217508742		12.8584611696252
SCO0222	mu_wt24	-0.0787266181994634	0.115304895802283	0.375065590383524	0.692757549076588	268.269534025984
SCO0223	mu_wt24	-0.119558114448082	0.16245216773644	0.215823701525481	0.53460443459616	69.7868075769628
SCO0224	mu_wt24	-0.886959377299868	0.284800675349451	8.75206736949349e-05	0.001805663955058	168.31464490776
SCO0225	mu_wt24	0.088129339291953	0.183026852219081	0.240009514192857	0.561880874736867	21.9220296347966
SCO0226	mu_wt24	0.282006253545112	0.188867031521185	0.022881121295395	0.137846624704557	101.743192094421
SCO0227	mu_wt24	0.0015929368976595	0.174601206338985	0.865202590366673		1.4416842358146
SCO0228	mu_wt24	-0.0074765348456249	0.17504206013515	0.783988191263219		0.755573103470853
SCO0229	mu_wt24	-0.130987498125519	0.143326260941239	0.180351277996575	0.481937242866389	227.532764894942
SCO0230	mu_wt24	-0.191528648741502	0.160553065636318	0.0743673928628405	0.290260485438567	125.626104118592
SCO0231	mu_wt24	-0.0643773702981059	0.177692394581458	0.304512948521312	0.630500072662751	36.4822475794565
SCO0232	mu_wt24	0.0226067009361546	0.174387852374677	0.468336858441891		4.00326338233776
SCO0233	mu_wt24	0.178727978734606	0.211847022763148	0.0918543476215207	0.325233083189143	55.7021587264202
SCO0234	mu_wt24	0.0118944175480055	0.17098591425119	0.759703180517244		7.07314200475341
SCO0235	mu_wt24	0.116387848060539	0.133807136581798	0.222291385915547	0.541237514266035	155.26201991214
SCO0236	mu_wt24	-0.005324190136895	0.136310416646671	0.946703359411674	0.98817849245543	92.3363627462126
SCO0237	mu_wt24	0.146810316062642	0.263792653341458	0.0206742046136506	0.128860485465336	17.6041732590838
SCO0238	mu_wt24	0.0339061463504934	0.159798942882834	0.630294545838164	0.856238150002231	26.8158790923452
SCO0239	mu_wt24	0.130064163691475	0.190347766380451	0.164538992885051	0.460335227821585	54.1553350449782
SCO0240	mu_wt24	0.0013481067192427	0.146290566379027	0.985864295179615	0.994802123284166	41.9724722606633
SCO0241	mu_wt24	-0.0234299322651144	0.150752539071418	0.765282980156514	0.92088303868296	48.6335344959593
SCO0242	mu_wt24	0.0584000865764102	0.108588206541372	0.504343216491133	0.784722771645989	376.635291160571
SCO0243	mu_wt24	0.0443503899639474	0.124040406351159	0.618430122866482	0.850566360701925	143.564754553319
SCO0244	mu_wt24	-0.0157736909783891	0.117035468171434	0.854983486029851	0.958256149896279	119.170316435475
SCO0245	mu_wt24	0.0543980690179038	0.14324189862945	0.533762184656623	0.802926170239067	109.436365548411
SCO0246	mu_wt24	0.107549679498705	0.115821748300276	0.230899721005649	0.552659713152763	243.971402947058
SCO0247	mu_wt24	0.704962826253304	0.109933374528019	1.1106356966591598e-11	8.63490026897319e-10	1100.42503875322
SCO0248	mu_wt24	0.5708474087179	0.13897605406536	3.49467000409668e-06	0.000107102210167	388.425669899051
SCO0249	mu_wt24	0.632454332864213	0.156738480096547	4.17546374269408e-06	0.0001253657528599	179.88815511979
SCO0250	mu_wt24	0.0788257216491757	0.127985255209951	0.388757340565024	0.705047653678485	117.900591710047
SCO0251	mu_wt24	-0.0770722320767291	0.163335224503438	0.360051008303609	0.679563739597707	51.398868210242
SCO0252	mu_wt24	0.0445000264910032	0.138506830125045	0.61208006355681	0.847739255491852	77.6138690009443
SCO0253	mu_wt24	0.0766939988767434	0.140277361322702	0.400638573774584	0.714523108722501	82.9664474115534
SCO0254	mu_wt24	0.146297362729167	0.124722733880955	0.123629925900557	0.391272906708661	168.268837945902
SCO0255	mu_wt24	-0.245796819130688	0.18525161655269	0.0385299619005257	0.194254128735347	171.660865624517
SCO0256	mu_wt24	-0.873567578597888	0.190178814234494	2.04994373372938e-07	7.88587730069021e-06	581.948124864917
SCO0257	mu_wt24	-0.74785823775958	0.192102481478066	6.25491882529926e-06	0.0001763629842021	404.72680328435
SCO0258	mu_wt24	-0.885459799289527	0.157559777073262	1.16379743652796e-09	6.41478198969814e-08	395.505474811655
SCO0259	mu_wt24	-0.808767074801198	0.160051028186751	2.81105413065201e-08	1.20711894238348e-06	437.560514666995
SCO0260	mu_wt24	-0.28055821904754	0.13378417943336	0.0074072961896692	0.0615413831911105	555.283815173895
SCO0261	mu_wt24	-0.0205623184506627	0.140446020913697	0.806914520273997	0.939894440426391	81.2679945796664
