""	"D24_1"	"D24_2"	"D24_3"	"C24_1"	"C24_2"	"C24_3"	"D45_1"	"D45_2"	"D45_3"	"C45_1"	"C45_2"	"C45_3"
"SCO0088"	7.41075630916401	7.36834036512845	7.52722340188303	7.35913929987512	7.29531951178738	7.41734634065538	7.29627168154693	7.28408571598973	7.32027447839107	7.00474213478295	7.19825890972783	7.28826145112302
"SCO0089"	8.78308518987223	8.80785788802553	8.87200559500363	8.46491774062454	8.61918292405955	8.67933999020659	8.32498399276699	8.2777137477124	8.27238423426322	8.37509820399064	8.39955155892831	8.36739958457967
"SCO0090"	6.8656081172277	7.12869441723613	7.1441280835048	6.92278095661413	6.91211731997122	6.89062782723829	6.91474618390552	6.80226115399413	6.87219998133295	6.90810560035889	6.89851058738194	6.90808111749919
"SCO0091"	8.81433347608296	8.82421008487919	8.79178807018956	8.83178838008787	8.79804114642478	8.6224295762925	8.74171114517861	8.68755946920954	8.6661359450538	8.88340208868206	8.85748998611971	8.8625454545587
"SCO0095"	6.83303382875372	6.84509779107363	7.07862855442758	6.77739844074747	6.8698898320473	6.80544574758053	6.85719036246612	6.82825327144993	6.92916223863123	6.93405982457864	6.79208491677736	6.94650892884461
"SCO0096"	8.07536828076033	7.92821381037326	7.90701802614679	7.95349767263784	8.0077811249969	7.94007133003813	7.52470636076739	7.53547436402738	7.5173418495986	7.5640073121652	7.6814173628953	7.59977483476213
"SCO0097"	7.81249087759715	8.03157875478374	8.02478928715461	7.87528599852256	8.11265674342848	7.95349477624852	7.55765305128454	7.63901686652089	7.59822608177032	7.70911759536513	7.823244608613	7.6931729975554
"SCO0098"	7.68272480457422	7.67649440398864	7.78525740169228	7.80689739091659	7.7829498044001	7.74886620015216	7.37942906210578	7.33863130694418	7.44546140099145	7.29899801191401	7.33832366068811	7.43550089900567
"SCO0101"	7.75883270956831	7.58843984487125	7.72402924190115	7.75876414958681	7.82067316697249	7.66507251627643	7.31074348009683	7.36966624603368	7.42866862623415	7.41735089992986	7.40541946079125	7.56915229849414
"SCO0102"	7.39745156801505	7.51670073224471	7.32635812633437	7.56000823992448	7.63165176752214	7.49363271309901	7.39250525232267	7.32801771173072	7.35800119508513	7.92069556474343	7.84400318913274	7.82205201013985
"SCO0103"	7.95155268857164	7.8858010762973	8.1095782408383	7.9186229965208	8.01818517199935	8.04944389834629	7.72579078479688	7.6687898249263	7.60525073704048	8.2247384153066	8.2445093591461	8.38257782564847
"SCO0104"	7.58964008760564	7.69734677193574	7.64767795420456	7.61827055934499	7.50501521906554	7.50401914822002	7.44289451343259	7.48356288929471	7.50185406503236	7.45337850118691	7.37254774264845	7.53751305326985
"SCO0105"	7.65265607487568	7.52904423658599	7.79512544224754	7.90436408959339	7.80824566073992	7.73264383455206	7.87030478270355	7.83758300839644	7.81894365180411	8.37509820399064	8.31987251228684	8.4050088881914
"SCO0106"	8.20610613734904	8.06899377261808	8.20256315907847	8.03308339036908	7.97060781172847	7.79608322850227	7.81313982804076	7.95022714397685	8.02574329773213	7.73578906020595	7.88437286729153	7.74663984792594
"SCO0107"	8.86360978216358	8.92967988459109	8.82614936987857	8.84535746762869	8.67847642280254	8.48775748658676	9.09799924115629	8.94169498474334	9.17570311052368	8.42470832153792	8.41235583591267	8.46649570764889
"SCO0108"	6.4234206960654	6.66745257911446	6.59993105397474	6.64763215684853	6.4234206960654	6.64441180775957	6.58789936998159	6.82825327144993	6.91094168849784	6.65273789857179	6.82144438085857	6.70411424634548
"SCO0109"	7.2825136060194	7.18709057537631	7.20374475895492	7.12618456841153	7.1388534763213	7.08132680585719	7.21949671688525	7.0759033400115	7.17144055484788	7.06735224629641	7.09233150180999	7.17197870992327
"SCO0110"	8.1359717075939	8.16106493396192	8.1956593251641	8.0954751246023	8.21342618313723	8.16067167603617	8.22939016718244	8.23414855110813	8.26466426910916	8.34954321309518	8.34699715948442	8.51840232171011
"SCO0111"	6.8656081172277	6.76812494976429	6.77578515872407	6.87050390501296	6.70646654275663	6.89062782723829	6.91474618390552	7.01142036101591	7.09658863280565	6.90810560035889	6.89851058738194	6.94650892884461
"SCO0112"	6.4234206960654	6.66745257911446	6.59993105397474	6.92278095661413	6.66864360199165	6.69394660373371	6.65590303950917	6.56696146721749	6.69473722567711	6.4234206960654	6.57426834626731	6.4234206960654
"SCO0116"	7.66277922713732	7.81435370953389	7.85250362143932	7.68213983622365	7.73717398632369	7.78835836054458	7.96921432250891	7.83758300839644	7.8469982546681	7.89070657406477	7.80207929578551	7.85786083891707
"SCO0117"	7.20096258678957	7.08667031617381	7.16458061907396	6.89738943064414	6.93187212452107	7.16536751400574	7.09584781989601	7.23749647613756	7.08322233778196	7.12406238130739	7.02276693139504	7.09157496691774
"SCO0118"	10.3236903643198	10.4147646811166	10.4405833080797	9.91720518646404	9.90477528797304	9.8428534688514	9.5406104066082	9.46768103025141	9.47651635765615	9.32783737769219	9.16238941369287	9.24720542512276
"SCO0119"	9.67491972239369	9.89802879896793	9.87577699140424	9.83852504582341	9.87940764180727	9.55476384772875	9.83976738358948	9.77454078400172	9.81543328768787	9.60004451892741	9.43194473810365	9.45407531436312
"SCO0120"	8.60125217863798	8.48846999600091	8.51720710289284	8.65720712051413	8.60957133948031	8.40790863628404	8.38830517966098	8.45688928713368	8.49402483888528	8.49106987480952	8.39094296867357	8.50133145474935
"SCO0121"	8.6414369156534	8.65552034119345	8.53846963876278	8.57706743464273	8.85804413959007	8.5048461237515	8.78036112880809	8.63035203834512	8.88721697234428	8.86960075018666	8.70720450423408	8.66575942901909
"SCO0122"	8.3738163285832	8.44582140596574	8.52255557249806	8.543582823494	8.68759955685595	8.43508331538333	8.46808983354364	8.29471854672826	8.3686129986522	8.49106987480952	8.50252263441225	8.40870910383352
"SCO0123"	8.10268581619775	8.27174886488526	8.22979397182729	8.37628352468723	8.52659718259249	8.23123921399371	8.45350531706671	8.21628038740264	8.30654070997165	8.3391739575153	8.13799407931308	8.1869664246234
"SCO0124"	9.61135361986781	9.62352508603327	9.59221333130528	9.64225164439681	9.68197876286959	9.18933730015868	9.48241369330255	9.50584440119927	9.51203771418498	9.63038851918522	9.43790953576107	9.66681578570287
"SCO0125"	8.98117375418054	9.0205206570341	9.04493111834229	9.15757429279059	9.13680182042525	8.6378479142577	8.80676595209073	8.73940712095793	8.75636390124281	8.87306434051802	8.74062748865113	8.81193159567018
"SCO0126"	11.1093329378542	11.0782636103545	11.1954367881924	11.30404961438	11.2965135197448	10.7017413232443	10.8477559821097	10.7731132665687	10.9057228089372	11.0562508059772	10.92685496122	11.0407334066687
"SCO0127"	10.7901384510895	10.7056939213664	10.6998438517879	10.847795696107	10.8413820358309	10.1775304461767	10.493814980756	10.4514895903099	10.5583316680276	10.5113687041567	10.6001549390139	10.5315688182656
"SCO0128"	7.16557274037214	7.10802872984769	7.1441280835048	7.15977565715959	7.26206294758301	7.00473940044296	7.01267380301504	7.10572543098158	7.10967641598504	7.12406238130739	7.04094002485749	7.04719099848767
