	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0157	6.520129008277603	6.777044366115256	6.57882536860554	6.70423407145623
SCO0158	6.92839543834674	7.480403796660507	6.866632797502277	7.30012149592363
SCO0159	7.3827902998294865	8.308685884504802	7.129182397024576	8.016697704156151
SCO0160	7.060484617873364	10.565530835218432	7.040153110145564	10.179822682280063
SCO0161	6.479317924972427	6.671735421415581	6.490188650675804	6.541336209128303
SCO0162	6.90996284233691	7.679343022340082	6.929460798097677	7.537271631161336
SCO0163	7.0693830232149	10.7487048733296	6.957825703082243	10.260729982374867
SCO0164	7.212845985781463	9.67000321059667	7.00965674630729	9.127375136098234
SCO0165	7.3646447059121565	8.896354977846075	7.12095095619996	8.240360686421473
SCO0166	7.53084758559928	10.142980173470733	7.533176152177584	10.124781434639766
SCO0167	7.301169160023446	8.390108617667229	7.201377195053603	8.260433171471297
SCO0168	7.390921829224976	7.9223393470115	7.274905345226434	7.77574660104301
SCO0169	7.413744733175577	8.172508882158027	7.344640724823967	7.91085490944291
SCO0170	7.366263761198364	8.72678715733754	7.359398368654003	8.47688407797242
SCO0171	6.66244368169793	7.1193029489415425	6.736654433531051	7.087605020940217
SCO0172	6.6921490026210435	10.2243981504185	6.77245336369007	9.846192025685964
SCO0173	7.2760023969400995	8.905287807262503	7.182645172457437	8.441475497066014
SCO0174	6.7658314397566	8.56933373425751	6.750161946333473	8.33853965131867
SCO0175	6.642607688777651	6.903923734991377	6.66641548810282	6.766744560126907
SCO0176	6.4234206960654	6.802184675971574	6.52840794858102	6.735720132400499
SCO0177	6.685552698517021	6.86889817451107	6.761218650891148	6.961843126162493
SCO0178	6.8871039918105765	7.319176128384126	6.89852871965764	7.229639139489966
SCO0179	7.171895439069914	8.629633918483904	7.161345253673616	8.543306661534244
SCO0180	6.970100860436773	7.36819145765228	6.9624532418344565	7.174366313841904
SCO0181	6.814595526259873	7.401390441049156	6.74354940237851	7.29851435099945
SCO0182	6.4234206960654	6.669629344802203	6.475534236806557	6.658989132849377
SCO0183	6.66244368169793	7.001315994704069	6.697021487386686	6.797755615771863
SCO0184	6.794652813090074	6.956052149207377	6.771811725736626	6.933580353477787
SCO0185	6.941061445276463	8.588690274626689	7.444483891955836	8.797048787493976
SCO0186	7.209121330472733	9.195793180163955	7.165987614297784	9.42537515982597
SCO0187	6.8824457646139665	8.775375681682169	6.982166627206367	8.958371653482274
SCO0188	7.109809294481543	8.880431646234094	7.281192410959117	8.88085718757395
SCO0189	7.615933132475117	9.070919896619733	7.840544614926906	9.203861451470843
SCO0190	7.2299953022849905	8.215318450933143	7.379228593964029	8.43579098867317
SCO0191	7.538598541145993	9.026068710301656	7.841648407237254	9.143151636090103
SCO0192	8.344659502248106	9.966129049099095	9.463444115660376	10.3499770750906
SCO0193	9.676717259464986	10.374544889894933	11.4855309788921	11.477869024618201
SCO0194	11.161650981523593	10.488923182423163	12.872748296533866	12.748806450109567
SCO0195	9.53400810737313	9.189469816179276	12.2162812423728	11.872135718757965
SCO0196	7.672158893578289	7.612266305543954	9.665533757620464	8.984930159289169
SCO0197	7.155168082876689	7.3058005285628544	8.013853794535704	7.6127664631559036
SCO0198	7.385268816440823	7.589502184449806	7.393422888225454	7.527658939673317
SCO0199	7.025960634870207	7.2908677320099535	6.952820702676696	7.168855593182727
SCO0200	7.087579539549391	7.449174081085797	7.093858694821656	7.40046567662372
SCO0201	6.817996901180744	7.027058947800223	6.844529156953823	6.960292772805256
SCO0202	7.539788363978981	7.420897998824903	7.52867238618668	7.402138696972906
SCO0203	9.88542580722275	9.762509667757627	9.88041069589669	10.01848975568314
SCO0204	8.162954462077067	8.198717361863617	8.144732265577032	8.36367962664167
SCO0207	6.561263727761297	6.9214654799545166	6.670074120857964	6.70565583256458
SCO0208	7.2251178293667735	8.244874039195834	7.054493623339241	8.051075234915011
SCO0209	6.84164172366867	7.76831818954367	6.774831213519903	7.652569103385891
SCO0210	6.719448241304387	7.128902684471196	6.738865971800667	7.13563682735677
