Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0543	3	3	3	3
SCO0544	3	3	3	3
SCO0545	3	3	3	3
SCO0546	3	3	3	3
SCO0547	3	3	3	3
SCO0548	3	3	3	3
SCO0549	3	3	3	3
SCO0550	3	3	3	3
SCO0551	3	3	3	3
SCO0552	3	3	3	3
SCO0553	3	3	3	3
SCO0554	3	3	3	3
SCO0555	3	3	3	3
SCO0556	3	3	3	3
SCO0557	3	3	3	3
SCO0558	3	3	3	3
SCO0559	3	3	3	3
SCO0560	3	3	3	3
SCO0561	3	3	3	3
SCO0562	3	3	3	3
SCO0563	3	3	3	3
SCO0564	3	3	3	3
SCO0565	3	3	3	3
SCO0566	3	3	3	3
SCO0567	3	3	3	3
SCO0568	3	3	3	3
SCO0569	3	3	3	3
SCO0570	3	3	3	3
SCO0571	3	3	3	3
SCO0572	3	3	3	3
SCO0573	3	3	3	3
SCO0574	3	3	3	3
SCO0575	3	3	3	3
SCO0576	3	3	3	3
SCO0577	3	3	3	3
SCO0578	3	3	3	3
SCO0579	3	3	3	3
SCO0580	3	3	3	3
SCO0581	3	3	3	3
SCO0582	3	3	3	3
SCO0583	3	3	3	3
SCO0584	3	3	3	3
SCO0585	3	3	3	3
SCO0586	3	3	3	3
SCO0587	3	3	3	3
SCO0588	3	3	3	3
SCO0589	3	3	3	3
SCO0590	3	3	3	3
SCO0591	3	3	3	3
SCO0592	3	3	3	3
SCO0593	3	3	3	3
SCO0594	3	3	3	3
SCO0595	3	3	3	3
SCO0596	3	3	3	3
SCO0597	3	3	3	3
SCO0598	3	3	3	3
SCO0599	3	3	3	3
SCO0600	3	3	3	3
SCO0601	3	3	3	3
SCO0602	3	3	3	3
SCO0603	3	3	3	3
SCO0604	3	3	3	3
SCO0605	3	3	3	3
SCO0606	3	3	3	3
SCO0607	3	3	3	3
SCO0608	3	3	3	3
SCO0609	3	3	3	3
SCO0610	3	3	3	3
SCO0611	3	3	3	3
SCO0612	3	3	3	3
SCO0613	3	3	3	3
SCO0614	3	3	3	3
SCO0615	3	3	3	3
SCO0616	3	3	3	3
SCO0617	3	3	3	3
SCO0618	3	3	3	3
SCO0619	3	3	3	3
SCO0620	3	3	3	3
SCO0621	3	3	3	3
SCO0622	3	3	3	3
SCO0623	3	3	3	3
SCO0624	3	3	3	3
SCO0625	3	3	3	3
SCO0626	3	3	3	3
SCO0627	3	3	3	3
SCO0628	3	3	3	3
SCO0629	3	3	3	3
SCO0630	3	3	3	3
SCO0631	3	3	3	3
SCO0632	3	3	3	3
SCO0633	3	3	3	3
SCO0635	3	3	3	3
SCO0636	3	3	3	3
SCO0637	3	3	3	3
SCO0638	3	3	3	3
SCO0639	3	3	3	3
SCO0640	3	3	3	3
SCO0641	3	3	3	3
SCO0642	3	3	3	3
SCO0643	3	3	3	3
SCO0644	3	3	3	3
SCO0645	3	3	3	3
SCO0646	3	3	3	3
SCO0647	3	3	3	3
SCO0648	3	3	3	3
SCO0649	3	3	3	3
SCO0650	3	3	3	3
SCO0651	3	3	3	3
SCO0652	3	3	3	3
SCO0653	3	3	3	3
SCO0654	3	3	3	3
SCO0655	3	3	3	3
SCO0656	3	3	3	3
SCO0657	3	3	3	3
SCO0658	3	3	3	3
SCO0659	3	3	3	3
SCO0660	3	3	3	3
SCO0661	3	3	3	3
SCO0662	3	3	3	3
SCO0663	3	3	3	3
SCO0664	3	3	3	3
